company,board,symbol,isin,trade_no,entry_type,signal_date,entry_date,entry,stop,target1,exit_date,exit_price,exit_reason,hold_sessions,pnl_pct,peak_gain_pct
Jeyyam Global Foods Ltd.,SME,JEYYAM,INE0RXB01022,1,early pivot reclaim,2024-09-27,2024-09-30,66.95,61.59,76.99,2024-10-04,60.15,stop -8%,3,-11.66,0.0
Kalana Ispat Ltd.,SME,KALANA,INE0T0L01014,1,early pivot reclaim,2024-09-27,2024-09-30,52.2,48.02,60.03,2024-10-01,47.55,stop -8%,1,-10.41,0.0
Kronox Lab Sciences Ltd.,Mainboard,KRONOX,INE0ATZ01017,2,early pivot reclaim,2024-09-30,2024-10-01,168.52,155.04,193.8,2024-10-07,151.01,stop -8%,3,-11.39,0.6
SD Retail Ltd.,SME,SDREAMS,INE0X6F01017,1,early pivot reclaim,2024-09-30,2024-10-01,166.3,153.0,191.24,2024-10-10,147.85,stop -8%,6,-12.59,4.1
ECOS (India) Mobility & Hospitality Ltd.,Mainboard,ECOSMOBLTY,INE06HJ01020,3,early pivot reclaim,2024-10-01,2024-10-03,460.0,423.2,529.0,2024-10-22,397.25,stop -8%,13,-14.64,6.5
Picturepost Studios Ltd.,SME,PPSL,INE0YAL01017,2,early pivot reclaim,2024-10-04,2024-10-07,33.0,30.36,37.95,2024-10-29,30.0,stop -8%,16,-10.59,0.0
Techera Engineering (India) Ltd.,SME,TECHERA,INE0JQS01019,1,early pivot reclaim,2024-10-04,2024-10-07,144.65,133.08,166.35,2025-01-22,164.0,trail (30% off peak after +15%),74,11.88,63.2
Diffusion Engineers Ltd.,Mainboard,DIFFNKG,INE184O01015,1,early pivot reclaim,2024-10-07,2024-10-08,223.98,206.06,257.58,2024-10-28,339.12,trail (30% off peak after +15%),14,50.41,118.6
Ola Electric Mobility Ltd.,Mainboard,OLAELEC,INE0LXG01040,2,early pivot reclaim,2024-10-08,2024-10-09,95.32,87.69,109.62,2024-10-14,87.46,stop -8%,3,-9.25,0.5
Gala Precision Engineering Ltd.,Mainboard,GALAPREC,INE0RE001014,2,early pivot reclaim,2024-10-08,2024-10-09,800.4,736.37,920.46,2025-01-27,960.05,trail (30% off peak after +15%),75,18.95,72.4
Namo eWaste Management Ltd.,SME,NAMOEWASTE,INE08NZ01012,2,early pivot reclaim,2024-10-08,2024-10-09,176.0,161.92,202.4,2025-01-24,178.15,trail (30% off peak after +15%),74,-0.28,47.0
Rappid Valves (India) Ltd.,SME,RAPPID,INE0MVO01012,1,early pivot reclaim,2024-10-08,2024-10-09,344.0,316.48,395.6,2024-10-15,306.0,stop -8%,4,-12.55,0.0
Kronox Lab Sciences Ltd.,Mainboard,KRONOX,INE0ATZ01017,3,early pivot reclaim,2024-10-09,2024-10-10,177.25,163.07,203.84,2024-10-22,161.0,stop -8%,8,-10.17,0.0
Aelea Commodities Ltd.,SME,ACLD,INE0T3401029,3,early pivot reclaim,2024-10-09,2024-10-10,181.15,166.66,208.32,2024-10-28,162.6,stop -8%,12,-11.74,2.0
Subam Papers Ltd.,SME,SUBAM,INE0U6201010,1,early pivot reclaim,2024-10-09,2024-10-10,154.0,141.68,177.1,2024-10-14,138.9,stop -8%,2,-11.31,0.0
JNK India Ltd.,Mainboard,JNKINDIA,INE0OAF01028,3,early pivot reclaim,2024-10-10,2024-10-11,743.95,684.43,855.54,2024-10-21,666.15,stop -8%,6,-11.46,0.0
Ganesh Green Bharat Ltd.,SME,GGBL,INE0R8C01018,2,early pivot reclaim,2024-10-10,2024-10-11,392.95,361.51,451.89,2024-10-22,359.45,stop -8%,7,-10.03,2.4
Sanstar Ltd.,Mainboard,SANSTAR,INE08NE01025,2,early pivot reclaim,2024-10-10,2024-10-11,128.1,117.85,147.31,2024-10-29,117.61,stop -8%,12,-9.19,0.0
Esprit Stones Ltd.,SME,ESPRIT,INE0SBP01018,3,early pivot reclaim,2024-10-10,2024-10-11,98.0,90.16,112.7,2024-10-22,89.5,stop -8%,7,-10.17,0.0
NeoPolitan Pizza & Foods Ltd.,SME,NPFL,INE471R01019,1,early pivot reclaim,2024-10-10,2024-10-11,22.28,20.5,25.62,2024-12-17,20.08,stop -8%,45,-11.37,27.5
Osel Devices Ltd.,SME,OSELDEVICE,INE0RMF01018,1,early pivot reclaim,2024-10-11,2024-10-14,235.25,216.43,270.54,2024-10-17,205.75,stop -8%,3,-14.04,0.0
Pelatro Ltd.,SME,PELATRO,INE0VG601013,2,early pivot reclaim,2024-10-11,2024-10-14,315.0,289.8,362.25,2024-10-22,285.0,stop -8%,6,-11.02,0.7
Avi Ansh Textile Ltd.,SME,AVIANSH,INE0TFB01017,1,early pivot reclaim,2024-10-11,2024-10-14,72.0,66.24,82.8,2026-07-13,102.5,OPEN,429,42.36,69.4
Jay Bee Laminations Ltd.,SME,JAYBEE,INE0SMY01017,2,early pivot reclaim,2024-10-16,2024-10-17,293.85,270.34,337.93,2025-01-22,297.9,trail (30% off peak after +15%),66,-0.12,45.0
Shiv Texchem Ltd.,SME,SHIVTEXCHEM,INE0YRO01015,1,early pivot reclaim,2024-10-16,2024-10-17,276.6,254.47,318.09,2024-10-21,254.0,stop -8%,2,-9.67,0.0
Jeyyam Global Foods Ltd.,SME,JEYYAM,INE0RXB01022,2,early pivot reclaim,2024-10-17,2024-10-18,64.0,58.88,73.6,2024-10-21,58.2,stop -8%,1,-10.56,0.0
